_id,PrimaryKey,DateAddedtoDataRelease,ProcuringAgencyOrganisation,ProjectName,ProjectShortDescription,ParentProjectID,ProjectStatus,ProcurementMethod,ProjectRegion,ProjectSector,EstimatedProjectValueRange,EstimatedQuarterBusinessCaseStart,EstimatedQuarterBusinessCaseCompletion,EstimatedQuarterProcurementStart,EstimatedQuarterProcurementCompletion,EstimatedQuarterConstructionStart,EstimatedQuarterConstructionCompletion,EstimatedQuarterProjectRangeStart,EstimatedQuarterProjectRangeCompletion,ProjectInfoURL,EstimatedProjectValueNote
1,IP000175,2019-11-07T00:00:00,Antarctica New Zealand,Redevelopment of Scott Base - Antarctica,This project is to redevelop Scott Base into a safe fit for purpose facility to support evolving science needs for the next 50 years. The Scott Base Redevelopment Detailed Business Case (completed December 2018) has been endorsed by Cabinet. Antarctica New Zealand has received $18.5 million in Budget 2019 to develop an Implementation Business Case. The Implementation Business Case will go to Cabinet for endorsement in approximately September 2021. Antarctica New Zealand are utilising an Early Contractor Involvement contract with procurement for a construction partner starting with Registrations of Interest in September 2019.,"",Business Case / Investment Case Development,Construct only,Other,Other - Not Specified,100 - 250 Million,2017-Q3,2018-Q4,2019-Q3,2021-Q4,2022-Q1,2030-Q4,"","",https://www.scottbaseredevelopment.govt.nz/projects ,""
2,IP000163,2019-11-07T00:00:00,Department of Corrections,Waikeria Prison Build,This project is for a new prison build. This will result in an additional 500 beds plus 100 mental health beds at Waikeria Prison.,"",Under Construction,Public Private Partnership,Waikato,Justice,500 Million +,"","","","","","",2017-Q1,2022-Q2,https://www.corrections.govt.nz/,""
3,IP000164,2019-11-07T00:00:00,Department of Corrections,Modular Prison Build Programme - Stage 2,This project will provide 610 beds located across Christchurch Women's Prison; Christchurch Men's prison; and Rimutaka Prison. This is the second stage of the Department of Corrections' Modular Build Programme.,"",Under Construction,Design and construct,All of New Zealand,Justice,250 - 500 Million,"","","","","","",2018-Q2,2020-Q3,https://www.corrections.govt.nz/,""
4,IP000165,2019-11-07T00:00:00,Department of Corrections,Mount Eden Correctional Facility New Accommodation Block,This project is for a new accommodation block (Building C) which will provide an additional 245 beds at Mount Eden Correctional Facility.,"",Under Construction,Design and construct,Auckland,Justice,50 - 100 Million,"","","","","","",2017-Q2,2020-Q3,https://www.corrections.govt.nz/,""
5,IP000166,2019-11-07T00:00:00,Department of Corrections,Modular Prison Build Programme - Stage 1,This project is for two Modular build units at Rolleston and one modular unit at Tongariro which will provide an additional 366 beds. This is the first stage of the Department of Corrections' Modular Build Programme.,"",Under Construction,Design and construct,All of New Zealand,Justice,50 - 100 Million,"","","","","","",2017-Q4,2020-Q3,https://www.corrections.govt.nz/,""
6,IP000167,2019-11-07T00:00:00,Department of Corrections,Rolleston Prison Perimeter Fence and Master Control Facility Enhancements,This project is for a new perimeter fence and master control facility at Rolleston Prison.,"",Under Construction,Design and construct,Canterbury,Justice,5 - 25 Million,"","","","","","",2018-Q3,2020-Q3,https://www.corrections.govt.nz/,""
7,IP000168,2019-11-07T00:00:00,Department of Corrections,Arohata Prison New Accommodation Build,This project will construct a new accommodation block at Arohata Prison. This project will add 69 beds to the Arohata Prison Facility.,"",Under Construction,Construct only,Wellington,Justice,5 - 25 Million,"","","","","","",2016-Q4,2020-Q2,https://www.corrections.govt.nz/,""
8,IP000169,2019-11-07T00:00:00,Department of Corrections,Manawatu Prison Single Point Entry,This project will result in a single point of entry into the Manawatu Prison and improved staff facilities.,"",In Procurement,Design and construct,Manawatu - Whanganui,Justice,5 - 25 Million,"","","","","","",2018-Q3,2021-Q2,https://www.corrections.govt.nz/,""
9,IP000170,2019-11-07T00:00:00,Department of Corrections,Mount Eden Correctional Facility Building 12 Heating Ventilation and Cooling Improvements,This project will upgrade Building 12's heating; ventilation; and cooling upgrade and improve environment conditions for staff and prisoners.,"",Under Construction,Other,Auckland,Justice,5 - 25 Million,"","","","","","",2018-Q3,2020-Q1,https://www.corrections.govt.nz/,""
10,IP000171,2019-11-07T00:00:00,Department of Corrections,Christchurch Men's Prison Housing Build,This project will provide housing for selected released prisoners subject to a Public Protection Order (PPO).,"",Under Construction,Design and construct,Canterbury,Justice,< 5 Million,"","","","","","",2018-Q3,2020-Q1,https://www.corrections.govt.nz/,""
